Vernacular name	Scientific name	Status in Finland	Red List category in Finland	Regulatory Status	Synonyms
laukkakotilo	Oxychilus alliarius	Stable population	NT (2019)	Connectivity of forest conservation areas – SUMI Project 2020; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	Helix alliaria; Hyalinia alliaria
leveäkiiltokotilo	Aegopinella nitidula	Stable population	NT (2019)	Connectivity of forest conservation areas – SUMI Project 2020; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	Helix nitidula; Retinella nitidula
viherkiiltokotilo	Aegopinella pura	Stable population	NT (2019)	Connectivity of forest conservation areas – SUMI Project 2020; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	Helix pura; Hyalinia pura; Retinella pura
ruskeakiiltokotilo	Perpolita hammonis	Stable population	LC (2019)		Perpolita hammonis; Hyalinia hammonis; Hyalinia radiatula; Nesovitrea hammonis (Ström, 1765)
lasikiiltokotilo	Perpolita petronella	Stable population	LC (2019)		Hyalinia petronella; Retinella petronella; Nesovitrea petronella (L. Pfeiffer, 1853)
purjeharjaetana	Milax gagates	Anthropogenic	NA (2019)		
lasikotilo	Vitrina pellucida	Stable population	LC (2019)		Helicolimax pellucidus
matoetana	Boettgerilla pallens	Anthropogenic	NA (2019)		Boettgerilla vermiformis
ukkoetana	Limax cinereoniger	Stable population	LC (2019)		
pantterietana	Limax maximus	Anthropogenic	NA (2019)		
hentoharjaetana	Malacolimax tenellus	Stable population	LC (2019)		Limax tenellus
metsäharjaetana	Lehmannia marginata	Stable population	NT (2019)	Connectivity of forest conservation areas – SUMI Project 2020; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	Limax marginatus; Limax arboreum
taimietana	Lehmannia valentiana	Anthropogenic	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	Limax valentianus; Lehmannia poirieri
rantaetana	Deroceras laeve	Stable population	LC (2019)		Agriolimax laevis
vasaraetana	Deroceras sturanyi	Anthropogenic	NA (2019)		Agriolimax sturanyi
tylppäetana	Deroceras invadens	Anthropogenic	NA (2019)		Deroceras caruanae
peltoetana	Deroceras agreste	Stable population	LC (2019)		Agriolimax agrestis; Agriolimax reticulatus
valepeltoetana	Deroceras reticulatum	Stable population	LC (2019)		Agriolimax reticulatum
kuultoetana	Deroceras rodnae	Anthropogenic	NA (2019)		
mustapääetana	Krynickillus melanocephalus	Anthropogenic		Government Decree on Managing the Risk Caused by Alien Species (704/2019, VN 912/2023)	
mustasiruetana	Arion ater	Anthropogenic	NA (2019)		Limax ater
punasiruetana	Arion rufus	Anthropogenic	NA (2019)		Limax rufus
Spanish slug	Arion vulgaris	Anthropogenic	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Government Decree on Managing the Risk Caused by Alien Species (704/2019, VN 912/2023)	Arion lusitanicus
metsäetana	Arion fuscus	Stable population	LC (2019)		Arion subfuscus
lasilimaetana	Arion circumscriptus	Stable population	LC (2019)		Arion bourguignati
keltajuovaetana	Arion fasciatus	Anthropogenic	LC (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
valkokylkietana	Arion silvaticus	Stable population	LC (2019)		
tarhaetana	Arion distinctus	Anthropogenic	NA (2019)		Arion hortensis (Ferussac, 1819)
nystysiruetana	Arion intermedius	Stable population	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
valkonauhakotilo	Euomphalia strigella	Stable population	NT (2019)	Connectivity of forest conservation areas – SUMI Project 2020; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	Helix strigella; Fruticicola strigella; Helicella strigella
takkukotilo	Trochulus hispidus	Stable population	LC (2019)		Trichia hispida; Helix hispida; Fruticicola hispida; Hygromia hispida
juovatakkukotilo	Trochulus plebeius	Anthropogenic	NA (2019)		Trichia plebeia
kaksihammaskotilo	Perforatella bidentata	Stable population	NT (2019)	Connectivity of forest conservation areas – SUMI Project 2020; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	Helix bidens; Perforatella bidens
karvakotilo	Pseudotrichia rubiginosa	Stable population	DD (2019)		Perforatella rubiginosa
lehtokotilo	Arianta arbustorum	Stable population	LC (2019)		Helix arbustorum; Helicigona arbustorum
nappikotilo	Helicigona lapicida	Stable population	NT (2019)	Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	Helix lapicida; Chilotrema lapicida
tummatarhakotilo	Cepaea nemoralis	Anthropogenic	NA (2019)		Helix nemoralis
valkotarhakotilo	Cepaea hortensis	Stable population	LC (2019)		Helix hortensis
sagriinikotilo	Cornu aspersum	Anthropogenic	NA (2019)		Helix aspersa; Cryptomphalus aspersus
viinimäkikotilo	Helix pomatia	Anthropogenic	NA (2019)		
keltasukkakotilo	Allopeas clavulinum	Anthropogenic	NA (2019)		Lamellaxis clavulinus
pensaskotilo	Fruticicola fruticum	Stable population	LC (2019)		Bradybaena fruticum; Eulota fruticum
kääpiösarvikotilo	Carychium minimum	Stable population	LC (2019)		
isosarvikotilo	Carychium tridentatum	Stable population	LC (2019)		
piippolimakotilo	Lymnaea stagnalis	Stable population	LC (2019)		
pikkulimakotilo	Galba truncatula	Stable population	LC (2019)		Lymnaea truncatula (Müller, 1774)
isotakokotilo	Stagnicola corvus	Stable population	DD (2019)		
takokotilo	Stagnicola palustris	Stable population	LC (2019)		Lymnaea palustris (Müller, 1774)
muunnoslimakotilo	Radix balthica	Stable population	LC (2019)		Lymnaea ovata (Draparnaud, 1805); Lymnaea balthica (Linnaeus, 1758)
Ear pond snail	Radix auricularia	Stable population	LC (2019)		Lymnaea auricularia (Linnaeus, 1758)
mutalimakotilo	Radix peregra	Stable population	LC (2019)		Radix labiata (Rossmässler, 1835); Lymnaea peregra (Müller, 1774)
Glutinous snail	Myxas glutinosa	Stable population	LC (2019)		Lymnaea glutinosa (O. F. Müller, 1774); Amphipeplea glutinosa (O. F. Müller, 1774)
Mud pond snail	Omphiscola glabra		DD (2019)		Lymnaea glabra (Müller, 1774)
ancyluskotilo	Ancylus fluviatilis	Stable population	LC (2019)		
Whirlpool ramshorn snail	Anisus vortex	Stable population	LC (2019)		Planorbis vortex (Linnaeus, 1758)
White-lipped ramshorn	Anisus leucostoma	Stable population	NT (2019)		Anisus septemgyratus (non Rossmässler, 1835)
vankkakehäkotilo	Gyraulus acronicus	Stable population	LC (2019)		Planorbis borealis Westerlund, 1875
valkokehäkotilo	Gyraulus albus	Stable population	LC (2019)		
Nautilus ramshorn	Gyraulus crista	Stable population	LC (2019)		Planorbis nautileus (Linnaeus, 1758); Armiger crista (Linnaeus, 1758)
hentokehäkotilo	Gyraulus laevis	Stable population	LC (2019)		
kuultokehäkotilo	Gyraulus riparius	Stable population	LC (2019)		
pohjankehäkotilo	Gyraulus stroemi	Stable population	DD (2019)		
Great ramshorn	Planorbarius corneus	Stable population	LC (2019)		Planorbis corneus (Linnaeus, 1758)
Keeled ramshorn	Planorbis carinatus	Stable population	LC (2019)		
Margined ramshorn	Planorbis planorbis	Stable population	LC (2019)		Planorbis umbilicatus (Müller, 1774)
Twisted ramshorn	Bathyomphalus contortus	Stable population	LC (2019)		Planorbis contortus (Linnaeus, 1758)
Shining ramshorn snail	Segmentina nitida	Stable population	DD (2019)		
linssikotilo	Hippeutis complanatus	Stable population	LC (2019)		Planorbis complanatus (Linnaeus, 1758)
karkurikotilo	Physella acuta	Anthropogenic	NA (2010)	Other invasive species; Other invasive alien species of concern (not included on the national or EU list)	Physa acuta Draparnaud, 1805
Fountain bladder snail	Physa fontinalis	Stable population	LC (2019)		
Moss bladder snail	Aplexa hypnorum	Stable population	DD (2019)		
huppukotilo	Acroloxus lacustris	Stable population	LC (2019)		
liuskamerietana	Tenellia adspersa	Stable population	LC (2019)		Embletonia pallida Alder & Hancock, 1854
ruskomerietana	Alderia modesta	Stable population	NT (2019)		
sukkulamerietana	Limapontia depressa	Stable population	LC (2019)		
litteäliejukotilo	Valvata cristata	Stable population	LC (2019)		
napaliejukotilo	Valvata macrostoma	Stable population	LC (2019)		
liejukotilo	Valvata piscinalis	Stable population	LC (2019)		
pohjanliejukotilo	Valvata sibirica	Stable population	LC (2019)		
kääpiöjärvikotilo	Marstoniopsis insubrica	Stable population	LC (2019)		Marstoniopsis scholtzi (A. Schmidt, 1856); Bythinella steinii (von Martens, 1858)
