Vernacular name	Scientific name	Status in Finland	Red List category in Finland	Regulatory Status	Synonyms
Soprano Pipistrelle	Pipistrellus pygmaeus	Regular vagrant; Irregular vagrant	NA (2019)	Species requiring strict protection within the European Union (NVF 2023/1066, Appendix 7); EU Habitats Directive Annex IV	
Wolf	Canis lupus	Stable population	EN (2019)	Species requiring strict protection within the European Union (NVF 2023/1066, Appendix 7); EU Habitats Directive Annex II; EU Habitats Directive Annex IV; EU Habitats Directive Annex V; Priority species (EU Habitats Directive, Appendix II); EU Habitats Directive Annex II, exception granted for Finnish populations; EU Habitats Directive Annex IV, exception granted for Finnish populations; EU Habitats Directive Annex V, exception granted for Finnish populations; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A; Game mammal (Hunting law 1993/615; 2019/683); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	
Raccoon dog	Nyctereutes procyonoides	Anthropogenic	NA (2019)	Invasive alien species of Union concern (EU 2016/1141; 2017/1263; 2019/1262; 2022/1203; 2025/1422); Finland’s National Strategy on Invasive Alien Species (GR 2012)	
Arctic fox	Vulpes lagopus		CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); Species requiring strict protection within the European Union (NVF 2023/1066, Appendix 7); EU Habitats Directive Annex II; EU Habitats Directive Annex IV; Priority species (EU Habitats Directive, Appendix II); EU Habitats Directive Annex II, Finland's Natura species; Species to be protected urgently (Finnish Environment Institute 2020); OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); Game mammal (Hunting law 1993/615; 2019/683); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	Alopex lagopus (Linnaeus, 1758)
Red Fox	Vulpes vulpes	Stable population	LC (2019)	Game mammal (Hunting law 1993/615; 2019/683)	
Cat	Felis catus	Anthropogenic		Unprotected animal (Hunting law 1993/615); Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	Felis silvestris catus Linnaeus, 1758
European lynx	Lynx lynx	Stable population	LC (2019)	Species requiring strict protection within the European Union (NVF 2023/1066, Appendix 7); EU Habitats Directive Annex II; EU Habitats Directive Annex IV; EU Habitats Directive Annex II, exception granted for Finnish populations; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A; Game mammal (Hunting law 1993/615; 2019/683); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	
Otter	Lutra lutra	Stable population	LC (2019)	Species requiring strict protection within the European Union (NVF 2023/1066, Appendix 7); EU Habitats Directive Annex II; EU Habitats Directive Annex IV; EU Habitats Directive Annex II, Finland's Natura species; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix I; EU regulation regarding CITES, Appendix A; Game mammal (Hunting law 1993/615; 2019/683); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	
Badger	Meles meles	Stable population	LC (2019)	Game mammal (Hunting law 1993/615; 2019/683)	
Wolverine	Gulo gulo	Stable population	EN (2019)	EU Habitats Directive Annex II; Priority species (EU Habitats Directive, Appendix II); EU Habitats Directive Annex II, Finland's Natura species; Game mammal (Hunting law 1993/615; 2019/683); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	
Pine Marten	Martes martes	Stable population	LC (2019)	EU Habitats Directive Annex V; Game mammal (Hunting law 1993/615; 2019/683)	
Stoat	Mustela erminea	Stable population	LC (2019)	Game mammal (Hunting law 1993/615; 2019/683)	
European Mink	Mustela lutreola	Extinct	RE (2019)		
Least Weasel	Mustela nivalis	Stable population	LC (2019)		
Western Polecat	Mustela putorius	Stable population	VU (2019)	EU Habitats Directive Annex V; Game mammal (Hunting law 1993/615; 2019/683)	
American Mink	Neogale vison	Anthropogenic	NA (2019)	Invasive alien species of Union concern (EU 2016/1141; 2017/1263; 2019/1262; 2022/1203; 2025/1422); Finland’s National Strategy on Invasive Alien Species (GR 2012); Government Decree on Managing the Risk Caused by Alien Species (704/2019, VN 912/2023)	Mustela vison Schreber, 1777; Neovison vison (Schreber, 1777)
Walrus	Odobenus rosmarus	Irregular vagrant			
Gray Seal	Halichoerus grypus	Stable population	LC (2019)	EU Habitats Directive Annex II; EU Habitats Directive Annex V; EU Habitats Directive Annex II, Finland's Natura species; Game mammal (Hunting law 1993/615; 2019/683)	
Common Seal	Phoca vitulina	Regular vagrant; Irregular vagrant	NA (2019)	Game mammal (Hunting law 1993/615; 2019/683)	
ringed seal	Pusa hispida		EN (2000)		Phoca hispida Schreber, 1775
Saimaa ringed seal	Pusa saimensis	Stable population	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); Species requiring strict protection within the European Union (NVF 2023/1066, Appendix 7); EU Habitats Directive Annex II; EU Habitats Directive Annex IV; Priority species (EU Habitats Directive, Appendix II); EU Habitats Directive Annex II, Finland's Natura species; Species to be protected urgently (Finnish Environment Institute 2020); OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	Phoca hispida saimensis (Nordquist, 1899); Pusa hispida saimensis (Nordquist, 1899)
Brown Bear	Ursus arctos	Stable population	NT (2019)	Species requiring strict protection within the European Union (NVF 2023/1066, Appendix 7); EU Habitats Directive Annex II; EU Habitats Directive Annex IV; Priority species (EU Habitats Directive, Appendix II); EU Habitats Directive Annex II, exception granted for Finnish populations; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A; Game mammal (Hunting law 1993/615; 2019/683); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	
Red Deer (Elk)	Cervus elaphus			Game mammal (Hunting law 1993/615; 2019/683)	
Fallow Deer	Dama dama	Anthropogenic	NA (2019)	Game mammal (Hunting law 1993/615; 2019/683); Other invasive species; Other invasive alien species of concern (not included on the national or EU list)	
Elk	Alces alces	Stable population	LC (2019)	Game mammal (Hunting law 1993/615; 2019/683)	
Roe Deer	Capreolus capreolus	Stable population	LC (2019)	Game mammal (Hunting law 1993/615; 2019/683)	
White-tailed Deer	Odocoileus virginianus	Anthropogenic	NA (2019)	Game mammal (Hunting law 1993/615; 2019/683); Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
Reindeer	Rangifer tarandus				
	Ovis orientalis				
Wild Boar	Sus scrofa	Stable population	LC (2019)	Game mammal (Hunting law 1993/615; 2019/683)	
Harbour Porpoise	Phocoena phocoena	Irregular vagrant	NA (2019)	Species requiring strict protection within the European Union (NVF 2023/1066, Appendix 7); EU Habitats Directive Annex II; EU Habitats Directive Annex IV; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A	
European Rabbit	Oryctolagus cuniculus	Anthropogenic	NA (2019)	Game mammal (Hunting law 1993/615; 2019/683); Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
European Hare	Lepus europaeus	Stable population	LC (2019)	Game mammal (Hunting law 1993/615; 2019/683)	
Mountain Hare	Lepus timidus	Stable population	LC (2019)	EU Habitats Directive Annex V; Game mammal (Hunting law 1993/615; 2019/683)	
