Vernacular name	Scientific name	Status in Finland	Red List category in Finland	Regulatory Status	Synonyms
Sea lamprey	Petromyzon marinus	Regular vagrant			
River lamprey	Lampetra fluviatilis	Stable population	NT (2019)	EU Habitats Directive Annex II; EU Habitats Directive Annex V; EU Habitats Directive Annex II, exception granted for Finnish populations; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023)	
Brook lamprey	Lampetra planeri	Stable population	LC (2019)	EU Habitats Directive Annex II; EU Habitats Directive Annex II, exception granted for Finnish populations; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023); OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Picked dogfish	Squalus acanthias	Regular vagrant			
Atlantic sturgeon	Acipenser oxyrinchus	Anthropogenic; Extinct; Regular vagrant	RE (2019)		
Siberian sturgeon	Acipenser baerii	Anthropogenic; Regular vagrant			
Danube sturgeon, Russian sturgeon	Acipenser gueldenstaedtii	Anthropogenic; Regular vagrant			
Sterlet	Acipenser ruthenus	Regular vagrant; Not established; Import			
Starry sturgeon	Acipenser stellatus	Anthropogenic; Regular vagrant			
European eel	Anguilla anguilla		CR (2019)	Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix B	
European conger	Conger conger	Regular vagrant			
European anchovy	Engraulis encrasicolus	Regular vagrant	NA (2019)		
Sprat	Sprattus sprattus	Stable population	LC (2019)		
Allis shad	Alosa alosa	Irregular vagrant			
Twaite shad	Alosa fallax	Regular vagrant	NA (2019)		
Spined loach	Cobitis taenia	Stable population	NT (2019)	EU Habitats Directive Annex II; EU Habitats Directive Annex II, exception granted for Finnish populations; OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Stone loach	Barbatula barbatula	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	Nemacheilus barbatulus (Linnaeus, 1758)
Prussian carp	Carassius gibelio	Stable population; Anthropogenic	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
Crucian carp	Carassius carassius	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Goldfish	Carassius auratus	Anthropogenic			
Common carp	Cyprinus carpio	Not established; Import	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
Grass carp	Ctenopharyngodon idella	Not established; Import			
Tench	Tinca tinca	Stable population	LC (2019)		
European bitterling	Rhodeus amarus	Anthropogenic			
Gudgeon	Gobio gobio	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
White-finned gudgeon	Romanogobio albipinnatus	Stable population; Anthropogenic	NA (2019)	Other invasive species; Other invasive alien species of concern (not included on the national or EU list)	
Eurasian minnow	Phoxinus phoxinus	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Common bream	Abramis brama	Stable population	LC (2019)		
Bleak	Alburnus alburnus	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Zope	Ballerus ballerus	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	Abramis ballerus (Linnaeus, 1758)
Silver bream	Blicca bjoerkna	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Common nase	Chondrostoma nasus	Anthropogenic			
Belica	Leucaspius delineatus	Anthropogenic; Stable population	NA (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Dace	Leuciscus leuciscus	Stable population	LC (2019)	OUTDATED Fish species subject to the Nature Conservation Act (NCD 1997/160, Appendix 1)	
Ide	Leuciscus idus	Stable population	LC (2019)		
Asp	Leuciscus aspius	Stable population	NT (2019)	EU Habitats Directive Annex II; EU Habitats Directive Annex V; EU Habitats Directive Annex II, exception granted for Finnish populations	Aspius aspius (Linnaeus, 1758)
