Vernacular name	Scientific name	Status in Finland	Red List category in Finland	Regulatory Status	Synonyms
Common Crane	Grus grus	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A	
Sandhill Crane	Grus canadensis	BirdLife Category A; Irregular vagrant			Antigone canadensis (Linnaeus, 1758)
Demoiselle Crane	Grus virgo	BirdLife Category A; Irregular vagrant			Anthropoides virgo
Little Bustard	Tetrax tetrax	BirdLife Category A; Irregular vagrant			
Macqueen's Bustard	Chlamydotis macqueenii	BirdLife Category B; Irregular vagrant			Chlamydotis undulata macqueenii
Great Bustard	Otis tarda	BirdLife Category B; Irregular vagrant			
Eurasian Stone-curlew	Burhinus oedicnemus	BirdLife Category A; Irregular vagrant			
Black-winged Stilt	Himantopus himantopus	BirdLife Category A; Irregular vagrant			
Pied Avocet	Recurvirostra avosetta	Irregular breeder; BirdLife Category A			
Eurasian Oystercatcher	Haematopus ostralegus	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Regionally Threatened 2020 - 3b Middle boreal, Northern Carelia–Kainuu; Regionally Threatened 2020 - 4b Northern boreal, North Ostrobothnia	
Pacific Golden Plover	Pluvialis fulva	BirdLife Category A; Irregular vagrant			
American Golden Plover	Pluvialis dominica	BirdLife Category A; Irregular vagrant			
European Golden Plover	Pluvialis apricaria	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I; EU Directive on Conservation of Wild Birds Annex III/B; Regionally Threatened 2020 - 1b Hemiboreal, Oak zone	
Grey Plover	Pluvialis squatarola	Passage migrant; BirdLife Category A		Migratory birds of the EU Birds Directive	
Sociable Lapwing	Vanellus gregarius	BirdLife Category A; Irregular vagrant			
White-tailed Lapwing	Vanellus leucurus	BirdLife Category A; Irregular vagrant			
Northern Lapwing	Vanellus vanellus	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Little Ringed Plover	Charadrius dubius	Stable population; BirdLife Category A; Regular breeder	NT (2019)	Regionally Threatened 2020 - 1a Hemiboreal, Åland	
Common Ringed Plover	Charadrius hiaticula	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Regionally Threatened 2020 - 3b Middle boreal, Northern Carelia–Kainuu; Regionally Threatened 2020 - 4a Northern boreal, Kuusamo district	
Kentish Plover	Charadrius alexandrinus	BirdLife Category A; Irregular vagrant			
Lesser Sand Plover	Charadrius mongolus	BirdLife Category A; Irregular vagrant			
Greater Sand Plover	Charadrius leschenaultii	BirdLife Category A; Irregular vagrant			
Caspian Plover	Charadrius asiaticus	BirdLife Category A; Irregular vagrant			
Oriental Plover	Charadrius veredus	BirdLife Category A; Irregular vagrant			
Eurasian Dotterel	Charadrius morinellus	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I	Eudromias morinellus (Linnaeus, 1758)
Upland Sandpiper	Bartramia longicauda	BirdLife Category A; Irregular vagrant			
Little Curlew	Numenius minutus	BirdLife Category A; Irregular vagrant			
Whimbrel	Numenius phaeopus	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Eurasian Curlew	Numenius arquata	Stable population; BirdLife Category A; Regular breeder	NT (2019)		
Black-tailed Godwit	Limosa limosa	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive; OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
Bar-tailed Godwit	Limosa lapponica	Stable population; BirdLife Category A; Regular breeder	NT (2019)	EU Directive on Conservation of Wild Birds Annex I; Regionally Threatened 2020 - 4c Northern boreal, Forest Lapland	
Ruddy Turnstone	Arenaria interpres	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Red Knot	Calidris canutus	Passage migrant; BirdLife Category A		Migratory birds of the EU Birds Directive	
Ruff	Calidris pugnax	Stable population; BirdLife Category A; Regular breeder	CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I; Species to be protected urgently (Finnish Environment Institute 2020); OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	Philomachus pugnax; Tringa pugnax
Sharp-tailed Sandpiper	Calidris acuminata	BirdLife Category A; Irregular vagrant			
Broad-billed Sandpiper	Calidris falcinellus	Stable population; BirdLife Category A; Regular breeder	NT (2019)	Migratory birds of the EU Birds Directive; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Regionally Threatened 2020 - 3a Middle boreal, Ostrobothnia; Regionally Threatened 2020 - 3b Middle boreal, Northern Carelia–Kainuu; Regionally Threatened 2020 - 3c Middle boreal, Southwestern Lapland; Regionally Threatened 2020 - 4a Northern boreal, Kuusamo district	Limicola falcinellus
Curlew Sandpiper	Calidris ferruginea	Passage migrant; BirdLife Category A		Migratory birds of the EU Birds Directive	
Stilt Sandpiper	Calidris himantopus	BirdLife Category A; Irregular vagrant			Micropalama himantopus
Red-necked Stint	Calidris ruficollis	BirdLife Category A; Irregular vagrant			
Long-toed Stint	Calidris subminuta	BirdLife Category A; Irregular vagrant			
Temminck's Stint	Calidris temminckii	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive; Species to be protected urgently (Finnish Environment Institute 2020); OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Sanderling	Calidris alba	Passage migrant; BirdLife Category A		Migratory birds of the EU Birds Directive	
Dunlin	Calidris alpina	Stable population; BirdLife Category A; Regular breeder			
Purple Sandpiper	Calidris maritima	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Baird's Sandpiper	Calidris bairdii	BirdLife Category A; Irregular vagrant			
Little Stint	Calidris minuta	Irregular breeder; BirdLife Category A	CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive	
White-rumped Sandpiper	Calidris fuscicollis	BirdLife Category A; Irregular vagrant			
Least Sandpiper	Calidris minutilla	BirdLife Category B; Irregular vagrant			
Buff-breasted Sandpiper	Calidris subruficollis	BirdLife Category A; Irregular vagrant			Tryngites subruficollis
Pectoral Sandpiper	Calidris melanotos	BirdLife Category A; Irregular vagrant			
Wilson's Phalarope	Phalaropus tricolor	BirdLife Category A; Irregular vagrant			Steganopus tricolor Vieillot, 1819
Red-necked Phalarope	Phalaropus lobatus	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Red Phalarope	Phalaropus fulicarius	BirdLife Category A; Irregular vagrant			
Terek Sandpiper	Xenus cinereus	Stable population; BirdLife Category A; Regular breeder	CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I; Species to be protected urgently (Finnish Environment Institute 2020); OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
Common Sandpiper	Actitis hypoleucos	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Spotted Sandpiper	Actitis macularius	BirdLife Category A; Irregular vagrant			Actitis macularia
Green Sandpiper	Tringa ochropus	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Spotted Redshank	Tringa erythropus	Stable population; BirdLife Category A; Regular breeder	NT (2019)	Migratory birds of the EU Birds Directive; Regionally Threatened 2020 - 3a Middle boreal, Ostrobothnia; Regionally Threatened 2020 - 3b Middle boreal, Northern Carelia–Kainuu; Regionally Threatened 2020 - 3c Middle boreal, Southwestern Lapland; Regionally Threatened 2020 - 4a Northern boreal, Kuusamo district; Regionally Threatened 2020 - 4b Northern boreal, North Ostrobothnia	
Common Greenshank	Tringa nebularia	Stable population; BirdLife Category A; Regular breeder	NT (2019)	Regionally Threatened 2020 - 2a Southern boreal, Southwestern Finland and Southern Ostrobothnia	
Lesser Yellowlegs	Tringa flavipes	BirdLife Category A; Irregular vagrant			
Willet	Tringa semipalmata	BirdLife Category A; Irregular vagrant			Catoptrophorus semipalmatus
Marsh Sandpiper	Tringa stagnatilis	Irregular breeder; BirdLife Category A	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6)	
Wood Sandpiper	Tringa glareola	Stable population; BirdLife Category A; Regular breeder	NT (2019)	EU Directive on Conservation of Wild Birds Annex I; Regionally Threatened 2020 - 1b Hemiboreal, Oak zone	
Common Redshank	Tringa totanus	Stable population; BirdLife Category A; Regular breeder	NT (2019)	Migratory birds of the EU Birds Directive; OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); Regionally Threatened 2020 - 2b Southern boreal, Lake district; Regionally Threatened 2020 - 3b Middle boreal, Northern Carelia–Kainuu	
Jack Snipe	Lymnocryptes minimus	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex II/A; EU Directive on Conservation of Wild Birds Annex III/B; Migratory birds of the EU Birds Directive; Regionally Threatened 2020 - 2a Southern boreal, Southwestern Finland and Southern Ostrobothnia; Regionally Threatened 2020 - 2b Southern boreal, Lake district; Regionally Threatened 2020 - 3a Middle boreal, Ostrobothnia; Regionally Threatened 2020 - 3b Middle boreal, Northern Carelia–Kainuu; Regionally Threatened 2020 - 3c Middle boreal, Southwestern Lapland; Regionally Threatened 2020 - 4a Northern boreal, Kuusamo district	Lymnocryptes minima
Long-billed Dowitcher	Limnodromus scolopaceus	BirdLife Category A; Irregular vagrant			
Eurasian Woodcock	Scolopax rusticola	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex II/A; EU Directive on Conservation of Wild Birds Annex III/B; Game bird (Hunting law 1993/615)	
Common Snipe	Gallinago gallinago	Stable population; BirdLife Category A; Regular breeder	NT (2019)	EU Directive on Conservation of Wild Birds Annex II/A; EU Directive on Conservation of Wild Birds Annex III/B	
Wilson's Snipe	Gallinago delicata	BirdLife Category A; Irregular vagrant			
Great Snipe	Gallinago media	Stable population; BirdLife Category A; Regular breeder	CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I; Species to be protected urgently (Finnish Environment Institute 2020); OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
Swinhoe's Snipe	Gallinago megala	BirdLife Category A; Irregular vagrant			
Collared Pratincole	Glareola pratincola	BirdLife Category A; Irregular vagrant			
Oriental Pratincole	Glareola maldivarum	BirdLife Category A; Irregular vagrant			
Black-winged Pratincole	Glareola nordmanni	BirdLife Category A; Irregular vagrant			
Cream-coloured Courser	Cursorius cursor	BirdLife Category A; Irregular vagrant			
Pomarine Jaeger	Stercorarius pomarinus	Regular vagrant; BirdLife Category A			
Parasitic Jaeger	Stercorarius parasiticus	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Long-tailed Jaeger	Stercorarius longicaudus	Stable population; BirdLife Category A; Regular breeder	NT (2019)		
Great Skua	Stercorarius skua	BirdLife Category A; Irregular vagrant			Catharacta skua
Atlantic Puffin	Fratercula arctica	BirdLife Category A; Irregular vagrant			
Black Guillemot	Cepphus grylle	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive	
Ancient Murrelet	Synthliboramphus antiquus	BirdLife Category A; Irregular vagrant			
Razorbill	Alca torda	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Migratory birds of the EU Birds Directive	
Little Auk	Alle alle	BirdLife Category A; Irregular vagrant			
Common Murre	Uria aalge	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive; OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
Thick-billed Murre	Uria lomvia	BirdLife Category A; Irregular vagrant			
Little Tern	Sternula albifrons	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I; Species to be protected urgently (Finnish Environment Institute 2020); OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	Sterna albifrons
Gull-billed Tern	Gelochelidon nilotica	BirdLife Category A; Irregular vagrant			
Caspian Tern	Hydroprogne caspia	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I	Sterna caspia; Hydroprogne tschegrava; Helopus caspius
Whiskered Tern	Chlidonias hybrida	BirdLife Category A; Irregular vagrant			Chlidonias hybridus
Black Tern	Chlidonias niger	Stable population; BirdLife Category A; Regular breeder	CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I; Species to be protected urgently (Finnish Environment Institute 2020); OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	Chlidonias nigra
White-winged Tern	Chlidonias leucopterus	BirdLife Category A; Irregular vagrant			Chlidonias leucoptera
Sandwich Tern	Sterna sandvicensis	Regular vagrant; BirdLife Category A			Thalasseus sandvicensis (Latham, 1787)
Common Tern	Sterna hirundo	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I; Regionally Threatened 2020 - 4c Northern boreal, Forest Lapland	
Arctic Tern	Sterna paradisaea	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I; Regionally Threatened 2020 - 4a Northern boreal, Kuusamo district; Regionally Threatened 2020 - 4b Northern boreal, North Ostrobothnia; Regionally Threatened 2020 - 4c Northern boreal, Forest Lapland; Regionally Threatened 2020 - 4d Northern boreal, Fjeld Lapland	
Little Gull	Hydrocoloeus minutus	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I; Regionally Threatened 2020 - 1b Hemiboreal, Oak zone	Larus minutus
Ross's Gull	Rhodostethia rosea	BirdLife Category A; Irregular vagrant			
Ivory Gull	Pagophila eburnea	BirdLife Category A; Irregular vagrant			
Sabine's Gull	Xema sabini	BirdLife Category A; Irregular vagrant			
Black-legged Kittiwake	Rissa tridactyla	Regular vagrant; BirdLife Category A			
Slender-billed Gull	Larus genei	BirdLife Category A; Irregular vagrant			Larus genei; Chroicocephalus genei (Breme, 1839)
Black-headed Gull	Larus ridibundus	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive	Larus ridibundus; Chroicocephalus ridibundus (Linnaeus, 1766)
Laughing Gull	Larus atricilla	BirdLife Category A; Irregular vagrant			Leucophaeus atricilla (Linnaeus, 1758)
Franklin's Gull	Larus pipixcan	BirdLife Category A; Irregular vagrant			Leucophaeus pipixcan (Wagler, 1831)
Audouin's Gull	Larus audouinii	BirdLife Category A; Irregular vagrant			Ichthyaetus audouinii (Payraudeau, 1826)
Mediterranean Gull	Larus melanocephalus	BirdLife Category A; Irregular vagrant			Ichthyaetus melanocephalus (Temminck, 1820)
Mew Gull	Larus canus	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex II/B	
Lesser Black-backed Gull	Larus fuscus	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
European Herring Gull	Larus argentatus	Stable population; BirdLife Category A; Regular breeder	VU (2019)	EU Directive on Conservation of Wild Birds Annex II/B; Unprotected animal (Hunting law 1993/615)	
Caspian Gull	Larus cachinnans	BirdLife Category A; Irregular vagrant			
Yellow-legged Gull	Larus michahellis	BirdLife Category A; Irregular vagrant			
Slaty-backed Gull	Larus schistisagus	BirdLife Category A; Irregular vagrant			
Iceland Gull	Larus glaucoides	BirdLife Category A; Irregular vagrant			
Glaucous Gull	Larus hyperboreus	BirdLife Category A; Irregular vagrant			
Great Black-backed Gull	Larus marinus	Stable population; BirdLife Category A; Regular breeder	VU (2019)	EU Directive on Conservation of Wild Birds Annex II/B; Unprotected animal (Hunting law 1993/615)	
Pallas's Sandgrouse	Syrrhaptes paradoxus	BirdLife Category A; Irregular vagrant			
Rock Dove	Columba livia	Regular breeder; Stable population; Anthropogenic; BirdLife Category C		EU Directive on Conservation of Wild Birds Annex II/A; EU regulation regarding CITES, Appendix A	
Stock Dove	Columba oenas	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Common Wood Pigeon	Columba palumbus	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex II/A; EU Directive on Conservation of Wild Birds Annex III/A; Game bird (Hunting law 1993/615)	
Eurasian Collared Dove	Streptopelia decaocto	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
European Turtle Dove	Streptopelia turtur	Irregular breeder; BirdLife Category A	CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Oriental Turtle Dove	Streptopelia orientalis	BirdLife Category A; Irregular vagrant			
Great Spotted Cuckoo	Clamator glandarius	BirdLife Category A; Irregular vagrant			
Common Cuckoo	Cuculus canorus	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Oriental Cuckoo	Cuculus optatus	BirdLife Category A; Irregular vagrant			
Western Barn Owl	Tyto alba	BirdLife Category A; Irregular vagrant			
Eurasian Scops Owl	Otus scops	BirdLife Category A; Irregular vagrant			
Eurasian Eagle-owl	Bubo bubo	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023)	
Snowy Owl	Bubo scandiacus	Irregular breeder; BirdLife Category A	CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A; OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	Nyctea scandiaca
Northern Hawk-Owl	Surnia ulula	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A	
Eurasian Pygmy Owl	Glaucidium passerinum	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023)	
Little Owl	Athene noctua	BirdLife Category A; Irregular vagrant			
Tawny Owl	Strix aluco	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A; Regionally Threatened 2020 - 3b Middle boreal, Northern Carelia–Kainuu	
Ural Owl	Strix uralensis	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A; Regionally Threatened 2020 - 1b Hemiboreal, Oak zone; Regionally Threatened 2020 - 3c Middle boreal, Southwestern Lapland; Regionally Threatened 2020 - 4a Northern boreal, Kuusamo district; Regionally Threatened 2020 - 4b Northern boreal, North Ostrobothnia	
Great Grey Owl	Strix nebulosa	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A	
Long-eared Owl	Asio otus	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A	
Short-eared Owl	Asio flammeus	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A	
Boreal Owl	Aegolius funereus	Stable population; BirdLife Category A; Regular breeder	NT (2019)	EU Directive on Conservation of Wild Birds Annex I; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Regionally Threatened 2020 - 1a Hemiboreal, Åland; Regionally Threatened 2020 - 1b Hemiboreal, Oak zone	
European Nightjar	Caprimulgus europaeus	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I	
White-throated Needletail	Hirundapus caudacutus	BirdLife Category A; Irregular vagrant			Hirundapus caudacuta
Common Swift	Apus apus	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	
Pallid Swift	Apus pallidus	BirdLife Category A; Irregular vagrant			
Alpine Swift	Apus melba	BirdLife Category A; Irregular vagrant			Tachymarptis melba (Linnaeus, 1758)
White-rumped Swift	Apus caffer	BirdLife Category A; Irregular vagrant			
Common Kingfisher	Alcedo atthis	Stable population; BirdLife Category A; Regular breeder	CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I; OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
European Bee-eater	Merops apiaster	BirdLife Category A; Irregular vagrant			
Blue-cheeked Bee-eater	Merops persicus	BirdLife Category A; Irregular vagrant			Merops superciliosus
European Roller	Coracias garrulus	BirdLife Category A; Irregular vagrant			
Eurasian Hoopoe	Upupa epops	Irregular breeder; BirdLife Category A			
Eurasian Wryneck	Jynx torquilla	Stable population; BirdLife Category A; Regular breeder	NT (2019)	Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Regionally Threatened 2020 - 3a Middle boreal, Ostrobothnia; Regionally Threatened 2020 - 3b Middle boreal, Northern Carelia–Kainuu; Regionally Threatened 2020 - 3c Middle boreal, Southwestern Lapland; Regionally Threatened 2020 - 4a Northern boreal, Kuusamo district; Regionally Threatened 2020 - 4b Northern boreal, North Ostrobothnia; Regionally Threatened 2020 - 4c Northern boreal, Forest Lapland; Regionally Threatened 2020 - 4d Northern boreal, Fjeld Lapland	
Grey-headed Woodpecker	Picus canus	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I	
European Green Woodpecker	Picus viridis	BirdLife Category A; Irregular vagrant			
Black Woodpecker	Dryocopus martius	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I	
Great Spotted Woodpecker	Dendrocopos major	Stable population; BirdLife Category A; Regular breeder	LC (2019)		Picoides major
Middle Spotted Woodpecker	Dendrocopos medius	BirdLife Category A; Irregular vagrant			Picoides medius; Dendrocoptes medius
White-backed Woodpecker	Dendrocopos leucotos	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I; OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	Picoides leucotos
Lesser Spotted Woodpecker	Dendrocopos minor	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Regionally Threatened 2020 - 3a Middle boreal, Ostrobothnia; Regionally Threatened 2020 - 4a Northern boreal, Kuusamo district; Regionally Threatened 2020 - 4b Northern boreal, North Ostrobothnia; Regionally Threatened 2020 - 4c Northern boreal, Forest Lapland; Regionally Threatened 2020 - 4d Northern boreal, Fjeld Lapland	Dryobates minor (Linnaeus, 1758); Picoides minor
Eurasian Three-toed Woodpecker	Picoides tridactylus	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I; Regionally Threatened 2020 - 1a Hemiboreal, Åland; Regionally Threatened 2020 - 1b Hemiboreal, Oak zone	
Dark-eyed Junco	Junco hyemalis	BirdLife Category A; Irregular vagrant			
Calandra Lark	Melanocorypha calandra	BirdLife Category A; Irregular vagrant			
Bimaculated Lark	Melanocorypha bimaculata	BirdLife Category A; Irregular vagrant			
White-winged Lark	Melanocorypha leucoptera	BirdLife Category A; Irregular vagrant			Alauda leucoptera Pallas, 1811
Black Lark	Melanocorypha yeltoniensis	BirdLife Category A; Irregular vagrant			
Greater Short-toed Lark	Calandrella brachydactyla	BirdLife Category A; Irregular vagrant			
Crested Lark	Galerida cristata	BirdLife Category A; Irregular vagrant			
Woodlark	Lullula arborea	Stable population; BirdLife Category A; Regular breeder	NT (2019)	EU Directive on Conservation of Wild Birds Annex I; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	
Eurasian Skylark	Alauda arvensis	Stable population; BirdLife Category A; Regular breeder	NT (2019)	Regionally Threatened 2020 - 4a Northern boreal, Kuusamo district; Regionally Threatened 2020 - 4c Northern boreal, Forest Lapland	
