Vernacular name	Scientific name	Status in Finland	Red List category in Finland	Regulatory Status	Synonyms
Greater Scaup	Aythya marila	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex III/B; Migratory birds of the EU Birds Directive; Species to be protected urgently (Finnish Environment Institute 2020); OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
Lesser Scaup	Aythya affinis	BirdLife Category A; Irregular vagrant			
Common Eider	Somateria mollissima	Stable population; BirdLife Category A; Regular breeder	EN (2019)	EU Directive on Conservation of Wild Birds Annex III/B; Migratory birds of the EU Birds Directive; Game bird (Hunting law 1993/615)	
King Eider	Somateria spectabilis	BirdLife Category A; Irregular vagrant			
Steller's Eider	Polysticta stelleri	Passage migrant; BirdLife Category A		EU Directive on Conservation of Wild Birds Annex I	
Harlequin Duck	Histrionicus histrionicus	BirdLife Category A; Irregular vagrant			
Long-tailed Duck	Clangula hyemalis	Stable population; BirdLife Category A; Regular breeder	NT (2019)	EU Directive on Conservation of Wild Birds Annex II/B; Game bird (Hunting law 1993/615); Regionally Threatened 2020 - 4c Northern boreal, Forest Lapland	
Common Scoter	Melanitta nigra	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex II/B; EU Directive on Conservation of Wild Birds Annex III/B; Migratory birds of the EU Birds Directive; Regionally Threatened 2020 - 3b Middle boreal, Northern Carelia–Kainuu; Regionally Threatened 2020 - 3c Middle boreal, Southwestern Lapland	
Black Scoter	Melanitta americana	BirdLife Category A; Irregular vagrant			
Surf Scoter	Melanitta perspicillata	BirdLife Category A; Irregular vagrant			
Velvet Scoter	Melanitta fusca	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex II/B; Migratory birds of the EU Birds Directive	
White-winged Scoter	Melanitta deglandi				Melanitta deglandi deglandi (Bonaparte, 1850)
Stejneger's Scoter	Melanitta stejnegei	Very rare			Melanitta deglandi stejnegeri (Ridgway, 1887)
Common Goldeneye	Bucephala clangula	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex II/B; Game bird (Hunting law 1993/615)	
Smew	Mergellus albellus	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I	Mergus albellus
Red-breasted Merganser	Mergus serrator	Stable population; BirdLife Category A; Regular breeder	NT (2019)	EU Directive on Conservation of Wild Birds Annex II/B; Game bird (Hunting law 1993/615)	
Common Merganser	Mergus merganser	Stable population; BirdLife Category A; Regular breeder	NT (2019)	EU Directive on Conservation of Wild Birds Annex II/B; Game bird (Hunting law 1993/615)	
Ruddy Duck	Oxyura jamaicensis	Anthropogenic; BirdLife Category C; Irregular vagrant		Invasive alien species of Union concern (EU 2016/1141; 2017/1263; 2019/1262; 2022/1203; 2025/1422); Finland’s National Strategy on Invasive Alien Species (GR 2012)	
Common Quail	Coturnix coturnix	Irregular breeder; BirdLife Category A	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Hazel Grouse	Tetrastes bonasia	Stable population; BirdLife Category A; Regular breeder	VU (2019)	EU Directive on Conservation of Wild Birds Annex I; EU Directive on Conservation of Wild Birds Annex II/B; Game bird (Hunting law 1993/615); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	Bonasa bonasia
Willow Ptarmigan	Lagopus lagopus	Stable population; BirdLife Category A; Regular breeder	VU (2019)	EU Directive on Conservation of Wild Birds Annex II/B; EU Directive on Conservation of Wild Birds Annex III/B; Game bird (Hunting law 1993/615); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	
Rock Ptarmigan	Lagopus muta	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex II/A; EU Directive on Conservation of Wild Birds Annex III/B; Game bird (Hunting law 1993/615); Regionally Threatened 2020 - 4b Northern boreal, North Ostrobothnia	Lagopus mutus
Black Grouse	Tetrao tetrix	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I; EU Directive on Conservation of Wild Birds Annex II/B; Game bird (Hunting law 1993/615)	Lyrurus tetrix (Linnaeus, 1758)
Western Capercaillie	Tetrao urogallus	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I; EU Directive on Conservation of Wild Birds Annex II/B; EU Directive on Conservation of Wild Birds Annex III/B; Game bird (Hunting law 1993/615)	
Grey Partridge	Perdix perdix	Stable population; BirdLife Category A; Regular breeder	NT (2019)	EU Directive on Conservation of Wild Birds Annex II/A; EU Directive on Conservation of Wild Birds Annex III/A; Game bird (Hunting law 1993/615); Regionally Threatened 2020 - 2b Southern boreal, Lake district	
Common Pheasant	Phasianus colchicus	Regular breeder; BirdLife Category C; Stable population; Anthropogenic	NA (2019)	EU Directive on Conservation of Wild Birds Annex II/A; EU Directive on Conservation of Wild Birds Annex III/A; Game bird (Hunting law 1993/615)	
Red-throated Loon	Gavia stellata	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I; Regionally Threatened 2020 - 1a Hemiboreal, Åland	
Black-throated Loon	Gavia arctica	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I	
Pacific Loon	Gavia pacifica	BirdLife Category A; Irregular vagrant			
Common Loon	Gavia immer	BirdLife Category A; Irregular vagrant			
Yellow-billed Loon	Gavia adamsii	BirdLife Category A; Irregular vagrant			
Little Grebe	Tachybaptus ruficollis	Stable population; BirdLife Category A; Regular breeder	CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Great Crested Grebe	Podiceps cristatus	Stable population; BirdLife Category A; Regular breeder	NT (2019)	Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Regionally Threatened 2020 - 4a Northern boreal, Kuusamo district; Regionally Threatened 2020 - 4b Northern boreal, North Ostrobothnia	
Red-necked Grebe	Podiceps grisegena	Stable population; BirdLife Category A; Regular breeder	NT (2019)	Migratory birds of the EU Birds Directive; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Regionally Threatened 2020 - 3c Middle boreal, Southwestern Lapland; Regionally Threatened 2020 - 4b Northern boreal, North Ostrobothnia	
Horned Grebe	Podiceps auritus	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I; OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Black-necked Grebe	Podiceps nigricollis	BirdLife Category A; Irregular vagrant			
Northern Fulmar	Fulmarus glacialis	BirdLife Category A; Irregular vagrant			
Great Shearwater	Ardenna gravis	BirdLife Category A; Irregular vagrant			Puffinus gravis
Sooty Shearwater	Puffinus griseus	BirdLife Category A; Irregular vagrant			Ardenna grisea (J.F. Gmelin, 1789)
Manx Shearwater	Puffinus puffinus	BirdLife Category A; Irregular vagrant			
European Storm Petrel	Hydrobates pelagicus	BirdLife Category A; Irregular vagrant			
Leach's Storm Petrel	Hydrobates leucorhoa	BirdLife Category A; Irregular vagrant			Hydrobates leucorhous (Vieillot, 1818); Oceanodroma leucorhoa (Vieillot, 1818)
Northern Gannet	Morus bassanus	BirdLife Category A; Irregular vagrant			
Great Cormorant	Phalacrocorax carbo	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
European Shag	Phalacrocorax aristotelis	BirdLife Category A; Irregular vagrant			
Pygmy Cormorant	Phalacrocorax pygmaeus	Irregular vagrant			Microcarbo pygmaeus (Pallas, 1773)
Great White Pelican	Pelecanus onocrotalus	BirdLife Category B; Irregular vagrant			
Eurasian Bittern	Botaurus stellaris	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I	
Little Bittern	Ixobrychus minutus	BirdLife Category A; Irregular vagrant			
Black-crowned Night Heron	Nycticorax nycticorax	BirdLife Category A; Irregular vagrant			
Squacco Heron	Ardeola ralloides	BirdLife Category A; Irregular vagrant			
Little Egret	Egretta garzetta	BirdLife Category A; Irregular vagrant			
Great Egret	Egretta alba	Irregular breeder; BirdLife Category A		EU Directive on Conservation of Wild Birds Annex I	Ardea alba Linnaeus, 1758
Grey Heron	Ardea cinerea	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Migratory birds of the EU Birds Directive	
Purple Heron	Ardea purpurea	BirdLife Category A; Irregular vagrant			
Western Cattle Egret	Ardea ibis	BirdLife Category A; Irregular vagrant			Bubulcus ibis (Linnaeus, 1758)
Black Stork	Ciconia nigra	BirdLife Category A; Irregular vagrant			
White Stork	Ciconia ciconia	Regular vagrant; BirdLife Category A			
Glossy Ibis	Plegadis falcinellus	BirdLife Category A; Irregular vagrant			
Eurasian Spoonbill	Platalea leucorodia	BirdLife Category A; Irregular vagrant			
European Honey Buzzard	Pernis apivorus	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Oriental Honey Buzzard	Pernis ptilorhynchus	BirdLife Category A; Irregular vagrant			
Black Kite	Milvus migrans	Stable population; BirdLife Category A; Regular breeder	CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
Red Kite	Milvus milvus	BirdLife Category A; Irregular vagrant			
Pallas's Fish Eagle	Haliaeetus leucoryphus	BirdLife Category B; Irregular vagrant			
White-tailed Sea Eagle	Haliaeetus albicilla	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Large birds of prey (NCD 2023/9, 73 §); EU Directive on Conservation of Wild Birds Annex I; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix I; EU regulation regarding CITES, Appendix A; OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
Egyptian Vulture	Neophron percnopterus	BirdLife Category A; Irregular vagrant			
Griffon Vulture	Gyps fulvus	BirdLife Category A; Irregular vagrant			
Cinereous Vulture	Aegypius monachus	BirdLife Category A; Irregular vagrant			
Short-toed Snake Eagle	Circaetus gallicus	BirdLife Category A; Irregular vagrant			
Western Marsh Harrier	Circus aeruginosus	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A	
Hen Harrier	Circus cyaneus	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Pallid Harrier	Circus macrourus	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A	
Montagu's Harrier	Circus pygargus	Irregular breeder; BirdLife Category A	CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A; OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Northern Goshawk	Accipiter gentilis	Stable population; BirdLife Category A; Regular breeder	NT (2019)	Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Regionally Threatened 2020 - 1a Hemiboreal, Åland; Regionally Threatened 2020 - 4d Northern boreal, Fjeld Lapland	
Eurasian Sparrowhawk	Accipiter nisus	Stable population; BirdLife Category A; Regular breeder	LC (2019)	Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A; Regionally Threatened 2020 - 4c Northern boreal, Forest Lapland	
Common Buzzard	Buteo buteo	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive; Convention on International Trade in Endangered Species of Wild Flora and Fauna - CITES, Appendix II; EU regulation regarding CITES, Appendix A; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Long-legged Buzzard	Buteo rufinus	BirdLife Category A; Irregular vagrant			
