Vernacular name	Scientific name	Status in Finland	Red List category in Finland	Regulatory Status	Synonyms
Smooth snake	Coronella austriaca	Stable population	VU (2019)	Species requiring strict protection within the European Union (NVF 2023/1066, Appendix 7); EU Habitats Directive Annex IV	
Grass Snake	Natrix natrix	Stable population	LC (2019)		
Adder	Vipera berus	Stable population	LC (2019)		
Slow worm	Anguis colchica	Stable population	LC (2019)		
Sand lizard	Lacerta agilis	Anthropogenic; Regular vagrant	NA (2019)	Government Decree on Invasive Alien Species of National Concern (1725/2015); Government Decree on Managing the Risk Caused by Alien Species (704/2019, VN 912/2023)	
Common lizard	Zootoca vivipara	Stable population	LC (2019)		Lacerta vivipara
