Vernacular name	Scientific name	Status in Finland	Red List category in Finland	Regulatory Status	Synonyms
täplälampikorento	Leucorrhinia pectoralis	Stable population	LC (2019)	Animal species that are protected in the whole country(NCD 2023/1066, Appendix 1); Species requiring strict protection within the European Union (NVF 2023/1066, Appendix 7); EU Habitats Directive Annex II; EU Habitats Directive Annex IV; EU Habitats Directive Annex II, Finland's Natura species; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023)	
isolampikorento	Leucorrhinia rubicunda	Stable population	LC (2019)		
litteähukankorento	Libellula depressa	Stable population	LC (2019)		
sorjahukankorento	Libellula fulva	Stable population	LC (2019)		
ruskohukankorento	Libellula quadrimaculata	Stable population	LC (2019)		
merisinikorento	Orthetrum cancellatum	Stable population	LC (2019)		
hoikkasinikorento	Orthetrum coerulescens	Stable population	LC (2019)		
tummasyyskorento	Sympetrum danae	Stable population	LC (2019)		
elokorento	Sympetrum flaveolum	Stable population	LC (2019)		
kulkusyyskorento	Sympetrum fonscolombii	Irregular vagrant	NA (2019)		
vyösyyskorento	Sympetrum pedemontanum	Irregular vagrant	NA (2019)		
verikorento	Sympetrum sanguineum	Stable population	LC (2019)		
lännensyyskorento	Sympetrum striolatum	Stable population	LC (2019)		
punasyyskorento	Sympetrum vulgatum	Stable population	LC (2019)		
kampasurviainen	Ameletus inopinatus	Stable population	LC (2019)		
isolapinsurviainen	Parameletus chelifer	Stable population	LC (2019)		
pikkulapinsurviainen	Parameletus minor	Stable population	LC (2019)		
suvantoiltasurviainen	Siphlonurus aestivalis	Stable population	LC (2019)		
täpläiltasurviainen	Siphlonurus lacustris	Stable population	LC (2019)		
raitailtasurviainen	Siphlonurus alternatus	Stable population	LC (2019)		Siphlurella alternatus (Say, 1824)
outasurviainen	Metretopus alter	Stable population	LC (2019)		
pohjansurviainen	Metretopus borealis	Stable population	LC (2019)		
outosukeltajasurviainen	Baetis scambus		DD (2019)		
lapasukeltajasurviainen	Baetis liebenauae	Stable population	NT (2019)	OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
purosukeltajasurviainen	Baetis macani	Stable population	LC (2019)		
järvisukeltajasurviainen	Baetis jaervii	Stable population	LC (2019)		Baetis tracheatus auct. nec Keffermüller & Machel, 1967
