Vernacular name	Scientific name	Status in Finland	Red List category in Finland	Regulatory Status	Synonyms
	Rhysipolis hariolator		NE (2019)		
	Rhysipolis meditator		NE (2019)		Rhysipolis obscuripes (Thomson, 1891); Rhysipolis varicoxa (Thomson, 1891)
	Acrisis apterus		NE (2019)		
	Acrisis brevicornis		NE (2019)		Acrisis koponeni Tobias, 1983
	Acrisis clavipes		NE (2019)		
	Acrisis fuscipes		NE (2019)		
	Acrisis suomii		NE (2019)		
	Proacrisis levis		NE (2019)		
	Proacrisis rarus		NE (2019)		
	Histeromerus canadensis				
	Histeromerus mystacinus				
	Dolopsidea indagator		NE (2019)		
	Oncophanes minutus		NE (2019)		Oncophanes laevigatus (Ratzeburg, 1852); Oncophanes lanceolator (Nees, 1834)
	Pseudobathystomus funestus		NE (2019)		
	Rhyssalus clavator		NE (2019)		
	Rhyssalus longicaudis		NE (2019)		
	Aleiodes abraxanae		NE (2019)		
	Aleiodes albitibia		NE (2019)		Aleiodes heterogaster Wesmael, 1838
	Aleiodes alternator		NE (2019)		
	Aleiodes angustipterus		NE (2019)		
	Aleiodes arcticus		NE (2019)		
	Aleiodes armatus		NE (2019)		
	Aleiodes assimilis		NE (2019)		
	Aleiodes aterrimus				
	Aleiodes bicolor		NE (2019)		Aleiodes incertus (Kokujev, 1898)
	Aleiodes borealis		NE (2019)		
	Aleiodes circumscriptus		NE (2019)		
	Aleiodes compressor		NE (2019)		Aleiodes unicolor (Wesmael, 1838)
	Aleiodes coxalis		NE (2019)		Aleiodes tristis Wesmael, 1838
	Aleiodes crassipes		NE (2019)		Aleiodes linearis Hellén, 1927
	Aleiodes cruentus		NE (2019)		
	Aleiodes curticornis				Aleiodes ochraceus Hellén, 1927
	Aleiodes dissector		NE (2019)		
	Aleiodes esenbeckii		NE (2019)		
	Aleiodes fortipes		NE (2019)		Aleiodes freyi (Hellén, 1927)
	Aleiodes gasterator				Aleiodes dimidiatus (Spinola, 1808)
	Aleiodes gastritor		NE (2019)		Aleiodes caudalis Hellén, 1927
	Aleiodes grassator		NE (2019)		Aleiodes alpinus (Thomson, 1892)
	Aleiodes hirtus		NE (2019)		
	Aleiodes jakowlewi				
	Aleiodes leptofemur		NE (2019)		
	Aleiodes miniatus		NE (2019)		
	Aleiodes modestus		NE (2019)		
	Aleiodes morio		NE (2019)		
	Aleiodes nigriceps		NE (2019)		
	Aleiodes nigricornis		NE (2019)		
	Aleiodes nobilis		NE (2019)		Aleiodes medianus (Thomson, 1892)
	Aleiodes pallescens		NE (2019)		
	Aleiodes pallidator		NE (2019)		
	Aleiodes pallidistigmus		NE (2019)		Aleiodes heterostigma (Stelfox, 1953)
	Aleiodes pictus				
	Aleiodes praetor		NE (2019)		
	Aleiodes pseudoseriatus				
	Aleiodes pulchripes		NE (2019)		
	Aleiodes punctipes		NE (2019)		
	Aleiodes rossicus		NE (2019)		
	Aleiodes ruficornis				
	Aleiodes rufipes		NE (2019)		
	Aleiodes rugulosus		NE (2019)		
	Aleiodes seriatus		NE (2019)		Aleiodes vittiger Wesmael, 1838
	Aleiodes signatus		NE (2019)		Aleiodes geniculator (Nees, 1834); Aleiodes esseni Hellén, 1927
	Aleiodes testaceus		NE (2019)		
	Aleiodes ungularis		NE (2019)		
	Aleiodes unipunctator				Aleiodes ductor (Thunberg, 1822)
	Aleiodes varius		NE (2019)		
	Heterogamus dispar		NE (2019)		Aleiodes dispar (Curtis, 1834)
	Heterogamus fasciatipennis				
	Clinocentrus arcticus		NE (2019)		
	Clinocentrus cunctator		NE (2019)		
	Clinocentrus excubitor		NE (2019)		Clinocentrus tenuicornis (Thomson, 1891)
	Clinocentrus exsertor		NE (2019)		
	Clinocentrus umbratilis		NE (2019)		
	Clinocentrus vestigator		NE (2019)		Clinocentrus obsoletus (Hellén, 1957)
	Rogas luteus		NE (2019)		Rogas testaceus (Fabricius, 1798)
	Sigalphus irrorator				
	Gnamptodon decoris		NE (2019)		
	Gnamptodon georginae				
	Gnamptodon pumilio		NE (2019)		
	Diplolepis eglanteriae		NE (2019)		
	Diplolepis mayri		NE (2019)		
	Diplolepis nervosa		NE (2019)		Diplolepis centifoliae (Hartig, 1840); Diplolepis rosarum Giraud, 1859
takkuäkämäpistiäinen	Diplolepis rosae		NE (2019)		
	Diplolepis spinosissimae		NE (2019)		
	Aulacidea abdominalis		NE (2019)		Aulacidea macula Forsius, 1921
	Aulacidea hieracii		NE (2019)		
	Aulacidea pilosellae		NE (2019)		
	Aulacidea subterminalis		NE (2019)		
	Aulacidea tragopogonis		NE (2019)		
	Liposthenes glechomae				Liposthenes latreillei (Kieffer, 1898)
	Isocolus jaceae		NE (2019)		
	Isocolus scabiosae		NE (2019)		Isocolus rogenhoferi Wachtl, 1880
	Andricus callidoma		NE (2019)		
	Andricus curvator		NE (2019)		
	Andricus foecundatrix		NE (2019)		Andricus pilosus Adler, 1881; Andricus fecundator
	Andricus glandulae				
	Andricus inflator		NE (2019)		Andricus globulii (Hartig, 1840)
	Andricus malpighii				Andricus nudus Adler, 1881
	Andricus paradoxus				
	Andricus quadrilineatus				
	Andricus quercusradicis		NE (2019)		
	Andricus quercusramuli		NE (2019)		
	Andricus seminationis				
	Andricus sieboldi		NE (2019)		
	Andricus testaceipes				
	Biorhiza pallida		NE (2019)		
	Callirhytis bella		NE (2019)		
	Cynips disticha	Uncertain records only	NE (2019)		
	Cynips divisa		NE (2019)		Cynips atridivisa Kinsey, 1929
	Cynips longiventris		NE (2019)		Cynips forsiusi Kinsey, 1929
	Cynips quercusfolii		NE (2019)	OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
	Neuroterus albipes				
	Neuroterus anthracinus		NE (2019)		
	Neuroterus numismalis		NE (2019)		
	Neuroterus quercusbaccarum		NE (2019)		Neuroterus lenticularis (Olivier, 1791)
	Neuroterus tricolor		NE (2019)		Neuroterus varius (Schenck, 1862)
	Trigonaspis megaptera		NE (2019)		
	Diastrophus mayri		NE (2019)		
	Periclistus brandtii		NE (2019)		Periclistus caninae auct.
	Periclistus caninae		NE (2019)		
	Periclistus spinosissimae		NE (2019)		
	Xestophanes brevitarsis		NE (2019)		
	Xestophanes potentillae		NE (2019)		
	Synergus apicalis		NE (2019)		
	Synergus clandestinus		NE (2019)		
	Synergus crassicornis		NE (2019)		Synergus evanescens Mayr, 1872
	Synergus facialis		NE (2019)		
	Synergus incrassatus		NE (2019)		
	Synergus pallicornis		NE (2019)		
	Synergus pallipes				Synergus nervosus Hartig, 1840; Synergus albipes Hartig, 1841
	Synergus radiatus				
	Synergus ruficornis				
	Synergus thaumacerus		NE (2019)		
	Aegilips atricornis		NE (2019)		
	Aegilips nitidulus				Aegilips curvipes Giraud, 1860; Aegilips rugicollis Reinhard, 1860
	Aegilips romseyensis		NE (2019)		
	Aegilips zaitzevi		NE (2019)		Aegilips vena Fergusson, 1985
	Anacharis ensifer				
	Anacharis eucharioides		NE (2019)		
	Anacharis immunis		NE (2019)		
	Anacharis petiolata				
	Xyalaspis armata		NE (2019)		
	Xyalaspis petiolata				
	Xyalaspis rugosa		NE (2019)		Xyalaspis subulifera (Thomson, 1861); Aspicera rugosa (Hartig, 1843)
	Aspicera scutellata		NE (2019)		
	Aspicera spinosa		NE (2019)		
	Callaspidia defonscolombei		NE (2019)		
	Melanips alienus		NE (2019)		Melanips longitarsus (Reinhard, 1860)
	Melanips heterocerus				
	Melanips microcerus		NE (2019)		Melanips opacus (Thomson, 1862)
	Melanips opacus		NE (2019)		Melanips femoralis Cameron, 1883
	Melanips parvus		NE (2019)		
	Melanips sylvanus		NE (2019)		Melanips rufipes (Förster, 1869)
	Omalaspis norica		NE (2019)		Omalaspis niger (Hartig, 1840)
	Apocharips trapezoidea		NE (2019)		Apocharips xanthocephala (Thomson, 1862)
	Dilyta subclavata		NE (2019)		
	Alloxysta apteroidea		NE (2019)		
	Alloxysta brachycera		NE (2019)		
	Alloxysta brachyptera		NE (2019)		
	Alloxysta brevis		NE (2019)		Alloxysta arcuata (Kieffer, 1902)
	Alloxysta brevitarsis		NE (2019)		
	Alloxysta castanea		NE (2019)		Alloxysta erythrothorax (Hartig, 1840); Alloxysta defectus (Hartig, 1841); Alloxysta nigriventris (Thomson, 1862); Alloxysta basimacula auct.
	Alloxysta circumscripta		NE (2019)		
	Alloxysta citripes				
	Alloxysta crassicornis		NE (2019)		Alloxysta urticarum (Kieffer, 1902); Alloxysta versicolor (Kieffer, 1903)
	Alloxysta fracticornis				
	Alloxysta fuscipes		NE (2019)		
	Alloxysta glebaria		NE (2019)		
	Alloxysta halterata		NE (2019)		
	Alloxysta heptatoma		NE (2019)		
	Alloxysta macrophadna		NE (2019)		Alloxysta piceomaculata (Cameron, 1883); Alloxysta filicornis (Cameron, 1889); Alloxysta perplexa (Cameron, 1889); Alloxysta crassa (Cameron, 1889)
	Alloxysta marshalliana		NE (2019)		
	Alloxysta melanogaster		NE (2019)		
	Alloxysta nigricans		NE (2019)		
	Alloxysta pallidicornis		NE (2019)		Alloxysta forticornis (Giraud, 1860)
	Alloxysta patens		NE (2019)		
	Alloxysta pedestris		NE (2019)		Alloxysta brachyptera auct.
	Alloxysta pilipennis		NE (2019)		Alloxysta flavicornis (Hartig, 1841)
	Alloxysta ramulifera		NE (2019)		Alloxysta minuta (Hartig, 1840)
	Alloxysta soluta		NE (2019)		
	Alloxysta tscheki		NE (2019)		
	Alloxysta ullrichi		NE (2019)		
	Alloxysta victrix		NE (2019)		Alloxysta curvicornis (Cameron, 1883); Alloxysta fulviceps (Curtis, 1838)
	Alloxysta xanthocera		NE (2019)		
	Phaenoglyphis abbreviata		NE (2019)		
	Phaenoglyphis fuscicornis		NE (2019)		
	Phaenoglyphis nigripes		NE (2019)		Phaenoglyphis dolichocera (Cameron, 1889)
	Phaenoglyphis ruficornis		NE (2019)		
	Phaenoglyphis salicis				
	Phaenoglyphis stricta		NE (2019)		
	Phaenoglyphis villosa		NE (2019)		Phaenoglyphis piciceps (Thomson, 1862); Phaenoglyphis piceiceps auct.; Phaenoglyphis carpentieri (Kieffer, 1902)
	Phaenoglyphis xanthochroa		NE (2019)		
	Chrestosema erythropum		NE (2019)		
	Chrestosema laevicolle		NE (2019)		
	Cothonaspis gracilis		NE (2019)		
	Cothonaspis longula		NE (2019)		
	Cothonaspis pentatoma		NE (2019)		
	Didyctium nigriclava		NE (2019)		
	Diglyphosema conjungens		NE (2019)		
	Diglyphosema ovalis		NE (2019)		
	Diglyphosema punctatum		NE (2019)		
	Disorygma curtum		NE (2019)		
	Disorygma depile		NE (2019)		Disorygma incrassata (Thomson, 1862); Disorygma divulgatum Förster, 1869
	Eucoila crassinerva		NE (2019)		
	Eucoila maculata		NE (2019)		
	Eutrias tritoma		NE (2019)		
	Ganaspis dubia		NE (2019)		
	Ganaspis mundata		NE (2019)		
	Ganaspis seticornis		NE (2019)		
	Glauraspidia fennica		NE (2019)		
	Glauraspidia microptera		NE (2019)		
	Gronotoma allotriaeformis		NE (2019)		
	Hexacola hexatoma		NE (2019)		Hexacola picicrus (Giraud, 1860)
	Kleidotoma affinis		NE (2019)		
	Kleidotoma albipennis				
	Kleidotoma atomaria		NE (2019)		
	Kleidotoma brevicornis		NE (2019)		
	Kleidotoma caledonica		NE (2019)		
	Kleidotoma ciliaris		NE (2019)		Kleidotoma melanopoda Cameron, 1888
	Kleidotoma dolichocera		NE (2019)		
	Kleidotoma filicornis	Anthropogenic			
	Kleidotoma formicaria		NE (2019)		
	Kleidotoma geniculata		NE (2019)		
	Kleidotoma hexatoma		NE (2019)		Kleidotoma picicrus (Förster, 1869)
	Kleidotoma inustipennis		NE (2019)		
	Kleidotoma longipennis		NE (2019)		
	Kleidotoma marshalli		NE (2019)		
	Kleidotoma nigra		NE (2019)		
	Kleidotoma pentatoma		NE (2019)		
	Kleidotoma picipes		NE (2019)		
	Kleidotoma psiloides		NE (2019)		
	Kleidotoma pygmaea		NE (2019)		
	Kleidotoma ruficornis		NE (2019)		
	Kleidotoma scutellaris	Uncertain records only	NE (2019)		
	Kleidotoma striata		NE (2019)		
	Kleidotoma striaticollis		NE (2019)		
	Kleidotoma thomsoni		NE (2019)		Kleidotoma tetratoma Thomson, 1861
	Kleidotoma tomentosa		NE (2019)		
	Kleidotoma truncata		NE (2019)		
	Leptopilina clavipes		NE (2019)		
	Leptopilina fimbriata		NE (2019)		Leptopilina dolichocera (Hellén, 1960)
	Leptopilina heterotoma	Uncertain records only	NE (2019)		Leptopilina fovealis auct.; Leptopilina musti (Rondani, 1875)
	Microstilba heterogena		NE (2019)		
	Mirandicola fuscicollis		NE (2019)		
	Mirandicola sericea		NE (2019)		Mirandicola marshalli (Cameron, 1883)
	Nordlanderiana grunini		NE (2019)		
	Rhoptromeris dichromata		NE (2019)		
	Rhoptromeris heptoma		NE (2019)		
	Rhoptromeris koponeni		NE (2019)		
	Rhoptromeris nigriventris		NE (2019)		
	Rhoptromeris rufiventris				
	Rhoptromeris strobigena		NE (2019)		
	Rhoptromeris villosa		NE (2019)		Rhoptromeris parva (Thomson, 1877)
	Trichoplasta caelestis				
	Trybliographa agaricola		NE (2019)		
	Trybliographa albipennis		NE (2019)		
	Trybliographa aperta		NE (2019)		
	Trybliographa atra		NE (2019)		
	Trybliographa cubitalis				
	Trybliographa diaphana		NE (2019)		
	Trybliographa diversicornis		NE (2019)		
	Trybliographa enneatoma		NE (2019)		
	Trybliographa filicornis		NE (2019)		
	Trybliographa fovealis				
	Trybliographa glottiana				
	Trybliographa gracilicornis		NE (2019)		
	Trybliographa longicornis		NE (2019)		
	Trybliographa mandibularis		NE (2019)		
	Trybliographa melanoptera		NE (2019)		Trybliographa fumipennis (Dahlbom, 1846); Trybliographa designata (Förster, 1869); Trybliographa giraudi (Förster, 1869)
	Trybliographa rapae		NE (2019)		Trybliographa octotoma (Thomson, 1862)
	Trybliographa rufula				
	Trybliographa suecica		NE (2019)		Trybliographa rufipes auct.
	Trybliographa tenuicornis		NE (2019)		
	Trybliographa trichopsila		NE (2019)		Trybliographa claripennis (Thomson, 1862)
	Amphithectus areolatus		NE (2019)		Sarothrus areolatus Hartig, 1840
	Amphithectus austriacus		NE (2019)		Seitneria austriaca Tavares, 1928
	Figites anthomyiarum		NE (2019)		Figites laevigatus Dahlbom, 1842
	Figites consobrinus				
	Figites nitens		NE (2019)		
	Figites scutellaris		NE (2019)		
	Figites validicornis		NE (2019)		
	Lonchidia clavicornis		NE (2019)		
	Lonchidia lissonota		NE (2019)		
	Lonchidia maculipennis		NE (2019)		
	Sarothrus brevicornis		NE (2019)		
	Sarothrus tibialis		NE (2019)		
	Trischiza agaricolarum		NE (2019)		
	Xyalophora clavata		NE (2019)		
	Zygosis urticeti		NE (2019)		
	Ibalia jakowlewi	Stable population	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
	Ibalia leucospoides	Extinct	RE (2019)		
	Ibalia rufipes	Stable population	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); Connectivity of forest conservation areas – SUMI Project 2020; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023)	Ibalia drewseni Borries, 1891
	Acerotella boter		NE (2019)		
	Acerotella evanescens		NE (2019)		
	Acerotella humilis		NE (2019)		
	Acerotella hungarica		NE (2019)		
	Aceroteta borealis		NE (2019)		
	Amblyaspis belus		NE (2019)		
	Amblyaspis nodicornis				
	Amblyaspis populi		NE (2019)		
	Amblyaspis roboris		NE (2019)		
	Amblyaspis scelionoides		NE (2019)		
	Amblyaspis tritici		NE (2019)		
	Anopedias lacustris		NE (2019)		
	Anopedias notaulatus		NE (2019)		
	Anopedias obscurus		NE (2019)		
	Anopedias tritomus		NE (2019)		
	Ceratacis cochleata		NE (2019)		Ceratacis filicornis (Haliday, 1835); Ceratacis munki (Buhl, 1994)
	Euxestonotus error		NE (2019)		
	Euxestonotus hasselbalchi		NE (2019)		
	Inostemma acuminatum		NE (2019)		
	Inostemma boscii		NE (2019)		
	Inostemma brevicornu		NE (2019)		Inostemma brevicornis auct.
	Inostemma contariniae		NE (2019)		
	Inostemma curtum		NE (2019)		
	Inostemma favo		NE (2019)		
	Inostemma foersteri		NE (2019)		
	Inostemma hispo				
	Inostemma hyperici		NE (2019)		
	Inostemma koponeni		NE (2019)		
	Inostemma melicerta		NE (2019)		
	Inostemma opacum		NE (2019)		
	Inostemma reticulatum		NE (2019)		
	Inostemma szabopatayi		NE (2019)		
	Inostemma walkeri		NE (2019)		
	Iphitrachelus gracilis		NE (2019)		
	Iphitrachelus lar		NE (2019)		
	Isocybus bifracticornis		NE (2019)		
	Isocybus matuta		NE (2019)		
	Isocybus thomsoni		NE (2019)		
	Isocybus trochanteratus		NE (2019)		
	Isostasius inserens		NE (2019)		
	Isostasius punctiger		NE (2019)		
	Leptacis breisteini		NE (2019)		
	Leptacis buchi		NE (2019)		
	Leptacis coryphe		NE (2019)		
	Leptacis fimbriata		NE (2019)		
	Leptacis halia		NE (2019)		
	Leptacis laodice		NE (2019)		
	Leptacis nydia		NE (2019)		
	Leptacis orchymonti		NE (2019)		
	Leptacis ozines		NE (2019)		
	Leptacis tipulae		NE (2019)		
	Leptacis vlugi		NE (2019)		
	Metaclisis acerina		NE (2019)		
	Metaclisis areolatus		NE (2019)		
	Metaclisis suecica		NE (2019)		
	Metanopedias lasiopterae		NE (2019)		
	Piestopleura catilla		NE (2019)		
	Piestopleura garridoi		NE (2019)		
	Piestopleura seron		NE (2019)		
	Piestopleura trichosteresis				
	Platygaster abrupta		NE (2019)		
	Platygaster acrisius		NE (2019)		
	Platygaster aebeloeensis		NE (2019)		
	Platygaster aegeus		NE (2019)		
	Platygaster anopediana		NE (2019)		
	Platygaster athamas		NE (2019)		
	Platygaster attenuata				
	Platygaster betulae		NE (2019)		
	Platygaster betularia		NE (2019)		
	Platygaster borealis		NE (2019)		
	Platygaster breviscapa		NE (2019)		
	Platygaster cebes		NE (2019)		
	Platygaster chloropus		NE (2019)		
	Platygaster clavata				
	Platygaster compressicornis		NE (2019)		Platygaster contorticornis auct. (part.)
	Platygaster contorticornis				
	Platygaster cyrsilus		NE (2019)		
	Platygaster dalgaardi		NE (2019)		
	Platygaster damokles		NE (2019)		
	Platygaster danielssoni		NE (2019)		
	Platygaster demades				Platygaster marchali Kieffer, 1906
	Platygaster depressiventris		NE (2019)		
	Platygaster dryope		NE (2019)		
	Platygaster elongata		NE (2019)		
	Platygaster ennius		NE (2019)		
	Platygaster eriphyle		NE (2019)		
	Platygaster estonica		NE (2019)		
	Platygaster euhemerus		NE (2019)		
	Platygaster fennica		NE (2019)		
	Platygaster filicornis				
	Platygaster frater		NE (2019)		
	Platygaster gaia		NE (2019)		
	Platygaster gladiator		NE (2019)		
	Platygaster glemhornae		NE (2019)		
	Platygaster gorge				
	Platygaster gracilipes		NE (2019)		
	Platygaster gyge		NE (2019)		Platygaster longiventris Thomson, 1859
	Platygaster henkvlugi		NE (2019)		
	Platygaster hyalinata		NE (2019)		Platygaster apicalis auct. nec Thomson, 1859
	Platygaster hybrida		NE (2019)		
	Platygaster inconspicua		NE (2019)		
	Platygaster inermis		NE (2019)		
	Platygaster iolas				
	Platygaster koponeni		NE (2019)		
	Platygaster laevifoveolata		NE (2019)		
	Platygaster lamelliformis		NE (2019)		
	Platygaster latiptera		NE (2019)		
	Platygaster leptines		NE (2019)		
	Platygaster lineaticeps		NE (2019)		
	Platygaster longestriolatus		NE (2019)		
	Platygaster lundensis		NE (2019)		
	Platygaster lyneborgi		NE (2019)		
	Platygaster lysicles		NE (2019)		
	Platygaster malpighii		NE (2019)		
	Platygaster marginata		NE (2019)		
	Platygaster martikaineni				
	Platygaster marttii		NE (2019)		
	Platygaster masneri		NE (2019)		
	Platygaster microsculpturata		NE (2019)		
	Platygaster minuta		NE (2019)		
	Platygaster molsensis				
	Platygaster multicostata		NE (2019)		
	Platygaster munita		NE (2019)		
	Platygaster nashi		NE (2019)		
	Platygaster nigerrimus		NE (2019)		Platygaster niger auct.
	Platygaster nisus		NE (2019)		
	Platygaster oblonga		NE (2019)		
	Platygaster oebalus		NE (2019)		
	Platygaster oeclus		NE (2019)		
	Platygaster orcus		NE (2019)		
	Platygaster orus		NE (2019)		
	Platygaster oscus		NE (2019)		
	Platygaster otanes		NE (2019)		Platygaster fuscipes Thomson, 1859
	Platygaster pedasus		NE (2019)		
	Platygaster pelias		NE (2019)		
	Platygaster philinna		NE (2019)		Platygaster nottoni Buhl, 1995
	Platygaster picipes		NE (2019)		
	Platygaster plana		NE (2019)		
	Platygaster polita		NE (2019)		
	Platygaster pubicornis		NE (2019)		
	Platygaster punctiventris		NE (2019)		
	Platygaster quadriceps		NE (2019)		
	Platygaster rufitibia		NE (2019)		
	Platygaster rugosiceps		NE (2019)		
	Platygaster rutilipes		NE (2019)		
	Platygaster rutubus		NE (2019)		Platygaster luteocoxalis (Kozlov, 1966)
	Platygaster sagana		NE (2019)		
	Platygaster signata		NE (2019)		
	Platygaster singularis		NE (2019)		
	Platygaster soederlundi		NE (2019)		
	Platygaster sonchis		NE (2019)		
	Platygaster splendidula		NE (2019)		
	Platygaster striatifacies		NE (2019)		
	Platygaster striatithorax		NE (2019)		
	Platygaster striolatus		NE (2019)		
	Platygaster subapicalis		NE (2019)		
	Platygaster sublongicornis		NE (2019)		
	Platygaster subuliformis		NE (2019)		
	Platygaster szelenyii				
	Platygaster tisias		NE (2019)		
	Platygaster transversiceps		NE (2019)		
	Platygaster tuberosula		NE (2019)		
	Platygaster uniformis		NE (2019)		
	Platygaster vintheri		NE (2019)		
	Platygaster vulgaris		NE (2019)		
	Platygaster xeneus		NE (2019)		
	Platygaster zigrida		NE (2019)		
	Synopeas acutispinus		NE (2019)		
	Synopeas blechingium		NE (2019)		
	Synopeas bohemani		NE (2019)		
	Synopeas brevis		NE (2019)		Synopeas breve Buhl, 1998
	Synopeas chica		NE (2019)		
	Synopeas ciliatum		NE (2019)		
	Synopeas convexum		NE (2019)		
	Synopeas craterum		NE (2019)		
	Synopeas cryptus		NE (2019)		
	Synopeas curvicauda		NE (2019)		
	Synopeas decurvatum		NE (2019)		
	Synopeas discoideus		NE (2019)		
	Synopeas euryale		NE (2019)		
	Synopeas figitiformis		NE (2019)		
	Synopeas fungorum		NE (2019)		
	Synopeas gibberosum		NE (2019)		
	Synopeas hansseni		NE (2019)		
	Synopeas hyllus		NE (2019)		
	Synopeas inerme		NE (2019)		
	Synopeas larides		NE (2019)		
	Synopeas lugubre		NE (2019)		
	Synopeas martikaineni		NE (2019)		
	Synopeas melampus		NE (2019)		
	Synopeas muticum		NE (2019)		
	Synopeas myles		NE (2019)		
	Synopeas opacum		NE (2019)		
	Synopeas osaces		NE (2019)		
	Synopeas rhanis		NE (2019)		
	Synopeas sosis		NE (2019)		
	Synopeas suomianum		NE (2019)		
	Synopeas trebium		NE (2019)		
	Synopeas ventrale		NE (2019)		
	Synopeas vikbergi		NE (2019)		
	Trichacis tristis				Trichacis opaca (Thomson, 1859); Trichacis didas (Walker, 1835); Trichacis pisis (Walker, 1835); Trichacis remulus (Walker, 1835); Trichacis nosferatus Buhl, 1997
	Allotropa conventus		NE (2019)		
	Allotropa mecrida		NE (2019)		
	Amitus croesus		NE (2019)		
	Amitus longicornis		NE (2019)		
	Amitus minervae		NE (2019)		
	Fidiobia polita		NE (2019)		
	Fidiobia rugosifrons		NE (2019)		
	Fidiobia rugosifronsoides				
	Platystasius antennatus		NE (2019)		
	Platystasius transversus		NE (2019)		
	Pseudaphanomerus hyalinatus		NE (2019)		
	Sparasion cephalotes		NE (2019)		Sparasion frontalis Latreille, 1802
	Sparasion lepidum		NE (2019)		
	Sparasion rufipes		NE (2019)		
	Anteris perplexa		NE (2019)		
	Anteris scutellaris		NE (2019)		
	Baeus seminulum		NE (2019)		
	Ceratobaeus pedestris		NE (2019)		
	Gryon dichropterum		NE (2019)		Eremioscelio dichropterus (Kozlov, 1966)
	Gryon misellum		NE (2019)		Gryon basalis (Thomson, 1859)
	Gryon pedestre		NE (2019)		
	Hadronotus muscaeformis		NE (2019)		Gryon muscaeforme (Nees, 1834)
	Idris ater		NE (2019)		
	Idris flavicornis		NE (2019)		
	Idris flavoclavatus		NE (2019)		Idris hilaris (Szelényi, 1953)
	Idris piceiventris		NE (2019)		
	Idris psammon		NE (2019)		
	Macroteleia bicolora				
	Psilanteris bicolor		NE (2019)		
	Scelio flavibarbis		NE (2019)		
	Scelio inermis		NE (2019)		
	Scelio rugosulus		NE (2019)		
	Scelio thomsoni		NE (2019)		
	Scelio vulgaris		NE (2019)		
	Thoron metallicus		NE (2019)		
	Trimorus algicola		NE (2019)		
	Trimorus arenicola		NE (2019)		
	Trimorus baloghi		NE (2019)		
	Trimorus biroi				
	Trimorus bohemicus		NE (2019)		
	Trimorus brevicollis		NE (2019)		
	Trimorus brevicornis		NE (2019)		
	Trimorus elongatus				
	Trimorus ephippium		NE (2019)		
	Trimorus flavipes		NE (2019)		Trimorus angustulus (Thomson, 1859)
	Trimorus laevifrons		NE (2019)		
	Trimorus nanno		NE (2019)		
	Trimorus nigrum				
	Trimorus nitidulus		NE (2019)		
	Trimorus opacus		NE (2019)		
	Trimorus orbiculatus		NE (2019)		
	Trimorus ovatus		NE (2019)		
	Trimorus pedestris		NE (2019)		
	Trimorus puncticollis		NE (2019)		
	Trimorus punctulator		NE (2019)		
	Trimorus therycides		NE (2019)		Trimorus pallipes (Thomson, 1859); Trimorus autumnalis (Thomson, 1859)
	Trimorus varicornis		NE (2019)		Trimorus striata auct.
	Teleas clavicornis		NE (2019)		Teleas striata auct.
	Xenomerus ergenna				Xenomerus medon (Walker, 1836); Trimorus medon (Walker, 1836)
	Telenomus acarnas		NE (2019)		
	Telenomus acrobates				
	Telenomus angustatus		NE (2019)		
	Telenomus antennalis				
	Telenomus aradi		NE (2019)		
	Telenomus brevis		NE (2019)		
	Telenomus chloropus		NE (2019)		
	Telenomus dalmanni		NE (2019)		
	Telenomus danubialis		NE (2019)		
	Telenomus dissolcus		NE (2019)		
	Telenomus harpyiae		NE (2019)		
	Telenomus hyalinatus				
	Telenomus kolbei		NE (2019)		
	Telenomus laeviceps				
	Telenomus laeviusculus				
	Telenomus laricis		NE (2019)		
	Telenomus lineolatus		NE (2019)		
	Telenomus longistriatus		NE (2019)		
	Telenomus longulus		NE (2019)		
	Telenomus macroceps		NE (2019)		
	Telenomus minimus		NE (2019)		
	Telenomus nitidulus		NE (2019)		
	Telenomus othus		NE (2019)		
	Telenomus pentatomus		NE (2019)		
	Telenomus phalaenarum		NE (2019)		
	Telenomus punctiventris		NE (2019)		
	Telenomus strelzovi		NE (2019)		
	Telenomus tetratomus		NE (2019)		
	Telenomus truncatus				Telenomus heydeni Mayr, 1879
	Telenomus wullschlegeli		NE (2019)		
	Tiphodytes gerriphagus		NE (2019)		
	Trissolcus belenus				Trissolcus grandis (Thomson, 1861)
	Trissolcus colemani				Trissolcus djadetshko (Ryakhovskii, 1959); Trissolcus pseudoturesis (Ryakhovskii 1959)
	Trissolcus cultratus				
	Trissolcus exerrandus		NE (2019)		
	Trissolcus flavipes		NE (2019)		
	Trissolcus scutellaris		NE (2019)		Trissolcus choaspes (Nixon, 1939); Trissolcus festivae (Viktorov, 1964); Trissolcus simoni (Mayr, 1879)
	Trissolcus semistriatus		NE (2019)		
	Trissolcus tumidus		NE (2019)		
	Vanhornia leileri				
	Helorus anomalipes	Stable population	LC (2019)		Helorus nigrotibia Hellén, 1941
	Helorus nigripes				
